主題,單字,中文
01. 辦公室,cubicle,辦公小隔間 [cite: 1]
01. 辦公室,desk,辦公桌 [cite: 1]
01. 辦公室,workstation,工作站 [cite: 1]
01. 辦公室,filing cabinet,檔案櫃 [cite: 1]
01. 辦公室,bulletin board,公告欄 [cite: 1]
01. 辦公室,photocopier,影印機 [cite: 1]
01. 辦公室,printer,印表機 [cite: 1]
01. 辦公室,scanner,掃描機 [cite: 1]
01. 辦公室,shredder,碎紙機 [cite: 1]
01. 辦公室,stapler,釘書機 [cite: 1]
01. 辦公室,clipboard,夾板 [cite: 1]
01. 辦公室,envelope,信封 [cite: 1]
01. 辦公室,folder,資料夾 [cite: 1]
01. 辦公室,binder,活頁夾 [cite: 1]
01. 辦公室,stationery,文具 [cite: 1]
01. 辦公室,equipment,設備 [cite: 1]
01. 辦公室,memo,備忘錄 [cite: 1]
01. 辦公室,agenda,議程表 [cite: 1]
01. 辦公室,colleague's office,同事辦公室 [cite: 1]
01. 辦公室,conference room,會議室 [cite: 1]
01. 辦公室,break room,休息室 [cite: 1]
01. 辦公室,reception,接待處 [cite: 1]
02. 會議,agenda,議程 [cite: 2]
02. 會議,speaker,演講者 [cite: 2]
02. 會議,attendee,與會者 [cite: 2]
02. 會議,participant,參與者 [cite: 2]
02. 會議,audience,聽眾 [cite: 2]
02. 會議,podium,講台 [cite: 2]
02. 會議,microphone,麥克風 [cite: 2]
02. 會議,projector,投影機 [cite: 2]
02. 會議,screen,螢幕 [cite: 2]
02. 會議,slide,投影片 [cite: 2]
02. 會議,handout,講義 [cite: 2]
02. 會議,name tag,名牌 [cite: 2]
02. 會議,flip chart,翻頁掛圖 [cite: 2]
02. 會議,whiteboard,白板 [cite: 2]
02. 會議,itinerary,行程表 [cite: 2]
02. 會議,venue,場地 [cite: 2]
03. 商業/合約,contract,合約 [cite: 3]
03. 商業/合約,attachment,附件 [cite: 3]
03. 商業/合約,signature,簽名 [cite: 3]
03. 商業/合約,trademark,商標 [cite: 3]
03. 商業/合約,patent,專利 [cite: 3]
